0,2,1568:32,108,0,115,0,0,47,84,0
1,2,3908:4,0,0,0,4,4,0,4,0
1,2,4678:4,0,4,0,4,0,4,0,0
1,2,3098:4,0,0,4,0,4,0,4,0
1,2,5848:4,0,0,4,4,4,0,0,0
1,2,5898:4,0,0,4,4,0,0,0,4
1,2,5168:4,0,0,4,4,0,0,4,0
1,2,2418:4,0,4,4,0,0,0,0,4
1,2,3818:4,0,0,4,0,4,0,4,0
1,2,1658:4,4,0,4,0,0,0,4,0
1,2,1608:4,4,0,4,0,0,0,0,4
1,2,3138:4,0,0,4,0,0,4,0,4
0,2,4408:9,0,7,4,10,0,7,0,0
0,2,2248:16,0,10,28,24,0,12,0,0
0,2,948:7,7,0,42,0,0,5,0,3
1,2,5128:4,0,0,4,4,4,0,0,0
1,2,5178:4,0,0,4,4,0,0,0,4
1,2,1528:4,4,0,4,4,0,0,0,0
1,2,2978:4,0,0,4,4,0,4,0,0
0,2,2988:22,0,0,7,17,0,0,4,13
0,2,818:56,67,0,28,0,133,259,0,0
1,2,3798:4,0,0,4,0,0,0,4,4
1,2,4418:4,0,4,4,4,0,0,0,0
1,2,2258:4,0,4,4,4,0,0,0,0
1,2,5138:4,0,0,4,4,0,4,0,0
1,2,1678:4,4,0,4,0,0,4,0,0
0,2,4518:12,0,235,44,0,0,0,21,16
0,2,4388:4,0,10,3,10,12,0,0,0
0,2,3708:10,0,0,4,7,0,0,6,4
0,2,788:16,15,0,7,45,0,3,0,0
1,2,4478:4,0,4,4,0,4,0,0,0
1,2,5878:4,0,0,4,4,0,0,4,0
1,2,3668:4,0,0,4,4,4,0,0,0
1,2,5328:4,0,0,4,0,0,0,4,4
0,2,8038:0,6,0,16,7,2,0,4,0
0,2,1558:61,19,0,185,0,15,0,28,0
0,2,4438:32,0,42,25,58,0,0,4,0
0,2,798:13,25,0,29,10,0,0,0,4
0,2,4488:40,0,67,34,0,0,52,0,51
0,2,3678:4,0,0,4,10,0,4,0,4
1,2,6328:4,0,0,0,4,4,0,4,0
1,2,4758:4,0,4,0,0,0,4,0,4
1,2,3948:4,0,0,0,4,0,4,0,4
1,2,4528:4,0,4,4,0,0,0,4,0
1,2,3718:4,0,0,4,4,0,0,4,0
1,2,1508:4,4,0,4,4,0,0,0,0
1,2,5928:4,0,0,4,0,4,0,0,4
1,2,2408:4,0,4,4,0,0,4,0,0
0,3,6121:7,0,0,0,5,0,0,2,0
0,3,3381:2,0,0,0,0,0,12,0,5
0,3,3101:2,0,0,2,0,8,0,0,0
0,3,3151:2,0,0,25,0,0,0,1,0
0,3,6031:5,0,0,1,0,0,0,17,0
0,3,5951:54,0,0,17,0,0,0,1,0
1,3,11981:0,0,0,0,2,0,0,2,0
1,3,6301:2,0,0,0,0,0,0,2,0
0,3,11711:0,0,0,2,4,0,0,7,0
0,3,5371:1,0,0,0,5,29,0,0,0
0,3,6091:26,0,0,0,2,2,0,0,0
0,3,5411:8,0,0,0,20,0,0,8,0
0,3,4061:17,0,0,0,0,3,0,2,0
0,3,5961:131,0,0,29,0,0,0,0,0
0,3,5231:1,0,0,98,0,0,0,47,0
0,3,3751:128,0,0,2,0,107,0,0,0
0,3,3071:14,0,0,21,0,0,0,80,0
0,3,961:1,1,0,4,0,0,0,0,0
0,3,3841:2,0,0,2,0,0,2,0,0
1,3,12521:0,0,0,2,0,0,0,2,0
1,3,8251:0,2,0,2,0,0,0,0,0
1,3,6361:2,0,0,0,2,0,0,0,0
1,3,5731:2,0,0,0,0,0,2,0,0
1,3,6181:2,0,0,0,0,2,0,0,0
1,3,5501:2,0,0,0,0,0,0,2,0
0,3,10231:0,0,0,2,41,2,0,0,0
0,3,11681:0,0,0,20,50,2,0,0,0
0,3,7361:0,26,0,17,2,0,0,0,0
0,3,5421:2,0,0,0,4,0,0,0,2
0,3,4661:11,0,2,0,11,0,0,0,0
0,3,6141:11,0,0,0,1,0,0,0,2
0,3,5381:1,0,0,0,2,0,7,0,0
0,3,5881:3,0,0,1,0,0,0,0,0
0,3,2401:0,0,14,5,0,0,0,0,0
0,3,5331:3,0,0,2,0,0,0,0,17
0,3,3761:6,0,0,179,0,0,6,0,0
1,3,12491:0,0,0,2,0,2,0,0,0
1,3,6231:2,0,0,0,0,0,0,0,2
1,3,4111:2,0,0,0,0,0,2,0,0
1,3,3851:2,0,0,2,0,0,0,0,0
